Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
..\data rocks\IMG\robocam_2017_05_28_15_42_18_311.jpg,0,0,1,0,99.66999,85.58897,0.000234714,56.70308,-7.13E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_374.jpg,0,0,0,0,99.66999,85.58897,0.000235123,56.70308,-5.91E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_441.jpg,0,0,0,0,99.66999,85.58897,0.000235429,56.70308,-4.99E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_507.jpg,0,0,0,0,99.66999,85.58897,0.000235736,56.70308,-4.07E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_574.jpg,0,0,0,0,99.66999,85.58897,0.000235941,56.70308,-3.46E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_641.jpg,0,0,0,0,99.66999,85.58897,0.000236247,56.70308,-2.54E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_708.jpg,0,0,0,0,99.66999,85.58897,0.000236232,56.70308,-2.03E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_775.jpg,0,0,0,0,99.66999,85.58897,0.000236319,56.70308,-1.22E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_842.jpg,2.01885,0,0,0,99.66999,85.58897,0.000235802,56.94536,-8.30E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_908.jpg,0,0,0,0,99.66999,85.58897,0.000236591,56.94873,-3.25E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_18_975.jpg,0,0,0,0,99.66999,85.58897,0.000236121,56.94873,-2.41E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_041.jpg,0,0,0,0,99.66999,85.58897,0.000235462,56.94873,-2.70E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_109.jpg,0,0,0,0,99.66999,85.58897,0.000235098,56.94873,-5.45E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_175.jpg,0.006021112,0,0,0,99.66999,85.58897,0.000236067,56.70832,6.83E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_242.jpg,0,0,0,0,99.66999,85.58897,0.000235852,56.70832,2.85E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_309.jpg,0,0,0,0,99.66999,85.58897,0.000235637,56.70832,-1.14E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_376.jpg,0,0,0,0,99.66999,85.58897,0.000235565,56.70832,-2.46E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_443.jpg,0,0,0,0,99.66999,85.58897,0.000235565,56.70832,-2.46E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_509.jpg,0,0,0,0,99.66999,85.58897,0.000235565,56.70832,-2.46E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_576.jpg,0,0,0,0,99.66999,85.58897,0.000235565,56.70832,-2.46E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_643.jpg,0,0,0,0,99.66999,85.58897,0.000235565,56.70832,-2.46E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_709.jpg,0,0,0,0,99.66999,85.58897,0.000235668,56.70832,-2.16E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_777.jpg,0,0,0,0,99.66999,85.58897,0.000235698,56.70832,-3.18E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_19_844.jpg,-3.007671,0,0,0,99.66999,85.58897,0.000236342,56.25666,1.70E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_19_910.jpg,-6.014342,0,0,0,99.66999,85.58897,0.000236124,55.35466,5.23E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_19_977.jpg,-9.015759,0,0,0,99.66999,85.58897,0.00023593,53.37045,1.32E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_044.jpg,-12.02211,0,0,0,99.66999,85.58897,0.000236598,51.29667,2.04E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_110.jpg,-15,0,0,0,99.66999,85.58897,0.00023584,48.77318,2.79E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_178.jpg,-15,0,0,0,99.66999,85.58897,0.000234486,45.17322,3.74E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_244.jpg,-15,0,0,0,99.66999,85.58897,0.000233432,42.47327,4.21E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_311.jpg,-15,0,0,0,99.66999,85.58897,0.000232667,39.77327,4.58E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_378.jpg,-15,0,0,0,99.66999,85.58897,0.000232218,36.17334,4.91E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_445.jpg,-15,0,0,0,99.66999,85.58897,0.000231913,33.47338,4.98E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_511.jpg,-12.00368,0,0,0,99.66999,85.58897,0.000231716,31.13266,4.78E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_578.jpg,-8.997309,0,0,0,99.66999,85.58897,0.000233701,28.79332,4.20E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_645.jpg,-5.989612,0,0,0,99.66999,85.58897,0.000237346,27.62491,3.55E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_712.jpg,-2.983375,0,0,0,99.66999,85.58897,0.000240583,26.90728,2.66E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_779.jpg,0,0,0,0,99.66999,85.58897,0.00024478,26.72927,1.17E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_845.jpg,0,0,0,0,99.67,85.58897,0.00024775,26.72927,3.30E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_20_912.jpg,0,0,0,0,99.67,85.58897,0.000249978,26.72927,-1.02E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_20_979.jpg,0,0,0,0,99.67,85.58897,0.000252277,26.72927,-2.21E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_046.jpg,0,0,0,0,99.67,85.58897,0.000253847,26.72927,-2.95E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_113.jpg,0,0,0,0,99.67,85.58897,0.000254962,26.72927,-3.56E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_179.jpg,0,0,0,0,99.67,85.58897,0.00025579,26.72927,-4.22E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_246.jpg,-2.998376,0,0,0,99.67,85.58897,0.00025451,26.27888,-4.44E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_313.jpg,-6.011775,0,0,0,99.67,85.58897,0.000253078,25.01743,-4.15E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_380.jpg,-9.01285,0,0,0,99.67,85.58897,0.000253118,23.48543,-3.68E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_447.jpg,-12.0209,0,0,0,99.67,85.58897,0.000251991,21.50243,-2.96E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_513.jpg,-15,0,0,0,99.67,85.58897,0.000250534,18.07973,-1.71E-05
